hero_id,hero_name,hero,dps,sustained_dps,bullet_damage,bullets_per_sec,fire_rate,ammo,reload_time_s,reload_delay_s,reload_single,bullets_per_shot,bullets_per_burst,time_between_bursted_bullets_s,light_melee,heavy_melee,bullet_velocity_m_s,falloff_start_range_m,falloff_end_range_m,crit_bonus_scale,bullet_radius_cm,rounds_per_second_at_max_spin,spin_acceleration,spin_deceleration,max_health,health_regen,bullet_resist,spirit_resist,melee_resist,crit_reduction,debuff_resist,bullet_lifesteal,move_speed_m_s,sprint_speed_m,stamina_cooldown_s,stamina,dash_speed_m,gravity_scale,spirit_power
8,McGinnis,McGinnis,76.2,47.8,6.4,4.76,0,66,3.29,0,False,1,1,0,50,116,650,20,57.5,0,10.2,11.9,0.5,0.25,780,2,0,0,0,0,0,0,6.7,1.6,4.5,2,14.7,0,0
63,Mina,Mina,29,18.6,7.31,3.97,0,12,1.7,0,False,1,1,0,50,116,762,20,46,0,12.7,0,0,0,660,2,0,0,0,0,-8,0,6.5,1.6,4.2,2,16.1,0,0
52,Mirage,Mirage,40.3,27.9,14.8,2.72,0,16,2.6,0,False,1,1,0,50,116,828,20,57.5,0,12.7,0,0,0,730,1.5,0,0,0,0,0,0,7,1.6,4.5,3,14.7,0,0
18,Mo & Krill,Mo & Krill,59.7,34.2,2.82,5.29,0,20,2.82,0,False,4,1,0,50,116,320,20,57.5,0,7.62,0,0,0,930,1,0,0,0,20,0,0,8,1.6,4.5,3,13.9,0,0
67,Paige,Paige,70,51.6,35,2,0,14,2.5,0,False,1,1,0.1,42,120,43.4,20,57.5,0,63.5,0,0,0,680,2,0,0,0,0,0,0,6.9,3.5,4.5,3,13.9,0,0
10,Paradox,Paradox,51.4,34.5,6.8,7.56,0,40,2.59,0,False,1,5,0.0735,50,116,525,20,57.5,0,10.2,0,0,0,730,1,0,0,0,0,0,0,6.7,1.6,4.5,3,16.1,0,0
50,Pocket,Pocket,57.1,38.3,4.28,1.9,0,11,2.82,0,False,7,1,0,60,116,559,16,45.7,0,7.62,0,0,0,780,1,0,-15,0,0,0,0,7.2,1.6,4.5,3,14.7,0,0
79,Rem,Rem,61.5,38.7,16,3.85,0,13,2,0,False,1,1,0,58,116,160,20,57.5,-20,25.4,0,0,0,680,2,0,0,-5,10,0,0,7.2,4,4.5,3,13.9,0,0
2,Seven,Seven,63,42.8,10.8,5.83,0,29,2.35,0,False,1,3,0.084,50,116,635,20,57.5,0,7.62,0,0,0,730,1,0,0,0,55,0,0,6.7,1.8,4.5,3,14.7,0,0
19,Shiv,+ Shiv,52.2,34.6,4.8,1.81,0,10,2.8,0,False,6,1,0,50,116,610,19.8,41.2,0,7.62,0,0,0,830,2,0,0,0,0,0,0,6.5,1.6,6,3,13.9,0,0
19,Shiv,Shiv (Alt‑fire),41.5,34.6,4.36,0.794,0,10,2.8,0,False,12,1,0.05,50,116,610,20,57.5,0,7.62,0,0,0,,,,,,,,,,,,,,,
80,Silver,Silver,42,29.2,5.1,1.18,0,7,0.3,0.5,True,7,1,0,50,116,813,17,42,0,10.2,0,0,0,830,2.5,0,0,0,0,0,0,6.7,1.5,4.5,2,14.7,0,0
80,Silver,Silver (Transformed),50,50,25,2,0,0,1.5,0,False,1,1,0,50,116,254,20,57.5,0,17.8,0,0,0,830,2.5,0,0,0,0,0,0,6.7,1.5,4.5,2,14.7,0,0
60,Sinclair,Sinclair,48.3,33.9,17.8,2.72,0,16,2.5,0,False,1,2,0.105,50,116,300,25.4,61,0,12.7,0,0,0,730,2,0,0,0,0,0,0,7.2,1.6,4.5,3,14.7,0,0
65,Venator,Venator,63.5,37.9,8,7.94,0,33,2.8,0,False,1,1,0,50,125,1590,18,47,0,7.62,0,0,0,820,2,0,0,0,0,0,0,6.4,1,4.5,3,13.9,0,0
66,Victor,Victor,70.2,44.3,12,5.05,0,24,2.4,0,False,1,1,0,50,116,203,20,57.5,0,12.7,5.85,0.6,1,800,1.5,0,0,0,0,0,0,6.3,1.1,4.5,3,13.9,0,0
3,Vindicta,Vindicta,53.4,32.1,12.3,4.33,0,19,2.91,0,False,1,1,0,50,116,660,20,64,0,7.62,0,0,0,755,2,0,0,0,0,0,0,7.9,1.6,4.5,2,14.7,0,0
35,Viscous,+ Viscous,49.2,30.9,10.3,4.76,0,20,2.5,0,False,1,1,0,63,116,254,20,57.5,0,20.3,0,0,0,780,2,0,0,0,0,0,0,7.2,1.6,4.5,3,14.7,0,0
35,Viscous,Viscous (Alt‑fire),33.3,28.6,42,0.794,0,20,2.5,0,False,1,1,0,63,116,38.1,20,57.5,0,50.8,0,0,0,,,,,,,,,,,,,,,
58,Vyper,Vyper,94,48.1,6.58,14.3,0,24,1.6,0,False,1,1,0,50,116,412,15,33,-30,12.7,0,0,0,780,2,0,0,0,0,0,0,6.9,1.6,4.5,4,14.7,0,0
25,Warden,Warden,66.1,40,17.3,3.81,0,17,2.91,0,False,1,1,0,50,116,290,18,47,0,12.7,0,0,0,805,2,0,0,0,0,0,0,6.3,1.6,4.5,3,14.7,0,0
7,Wraith,Wraith,59.7,37.9,5.64,10.6,0,52,2.82,0,False,1,1,0,50,116,572,18,52,0,7.62,0,0,0,730,2,0,0,0,0,0,0,7.2,1.6,4.5,3,14.7,0,0
27,Yamato,+ Yamato,63.2,42.6,5.31,2.38,0,12,2.44,0,False,5,1,0,55,128,254,20,45.7,0,7.62,0,0,0,730,1,0,0,0,0,0,0,8.2,1.6,4.5,3,14.7,0,0
27,Yamato,Yamato (Alt‑fire),47.6,39,50,0.952,0,12,2.44,0,False,1,1,0,55,128,76.2,20,57.5,0,33,0,0,0,,,,,,,,,,,,,,,
